upstox_id,tradingsymbol,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,face_value
BSE_EQ|INE08U801020,SAMHI,EQUITY,BSE_EQ,SAMHI,Samhi Hotels Limited,22-SEP-2023,INE08U801020,1
BSE_EQ|INE07K301024,ZAGGLE,EQUITY,BSE_EQ,ZAGGLE,Zaggle Prepaid Ocean Services Limited,22-SEP-2023,INE07K301024,1
BSE_EQ|INE721A01013,SHRIRAMFIN,EQUITY,BSE_EQ,SHRIRAMFIN,Shriram Finance Limited,11-DEC-1996,INE721A01013,10
BSE_EQ|INE0O3901029,TREL,EQUITY,BSE_EQ,TREL,Transindia Real Estate Limited,10-AUG-2023,INE0O3901029,2
BSE_EQ|INE531F01015,NUVAMA,EQUITY,BSE_EQ,NUVAMA,Nuvama Wealth Management Limited,26-SEP-2023,INE531F01015,10
BSE_EQ|INE438K01021,KALAMANDIR,EQUITY,BSE_EQ,KALAMANDIR,Sai Silks (Kalamandir) Limited,27-SEP-2023,INE438K01021,2
BSE_EQ|INE903U01023,SIGNATURE,EQUITY,BSE_EQ,SIGNATURE,Signatureglobal (India) Limited,27-SEP-2023,INE903U01023,1
BSE_EQ|INE271B01025,MAHSEAMLES,EQUITY,BSE_EQ,MAHSEAMLES,Maharashtra Seamless Limited,25-AUG-2004,INE271B01025,5
BSE_EQ|INE0JR601024,YATRA,EQUITY,BSE_EQ,YATRA,Yatra Online Limited,28-SEP-2023,INE0JR601024,1
BSE_EQ|INE880J01026,JSWINFRA,EQUITY,BSE_EQ,JSWINFRA,JSW Infrastructure Limited,03-OCT-2023,INE880J01026,2
BSE_EQ|INE0KNT01012,MVGJL,EQUITY,BSE_EQ,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,03-OCT-2023,INE0KNT01012,10
BSE_EQ|INE851I01011,UDS,EQUITY,BSE_EQ,UDS,Updater Services Limited,04-OCT-2023,INE851I01011,10
BSE_EQ|INE0JWS01017,VALIANTLAB,EQUITY,BSE_EQ,VALIANTLAB,Valiant Laboratories Limited,06-OCT-2023,INE0JWS01017,10
BSE_EQ|INE0INJ01017,PLAZACABLE,EQUITY,BSE_EQ,PLAZACABLE,Plaza Wires Limited,12-OCT-2023,INE0INJ01017,10
BSE_EQ|INE07U701015,IRMENERGY,EQUITY,BSE_EQ,IRMENERGY,IRM Energy Limited,26-OCT-2023,INE07U701015,10
BSE_EQ|INE03EI01018,MAXESTATES,EQUITY,BSE_EQ,MAXESTATES,Max Estates Limited,30-OCT-2023,INE03EI01018,10
BSE_EQ|INE0KBH01020,BLUEJET,EQUITY,BSE_EQ,BLUEJET,Blue Jet Healthcare Limited,01-NOV-2023,INE0KBH01020,2
BSE_EQ|INE121A01024,CHOLAFIN,EQUITY,BSE_EQ,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,15-MAY-1996,INE121A01024,2
BSE_EQ|INE0LMW01024,CELLO,EQUITY,BSE_EQ,CELLO,Cello World Limited,06-NOV-2023,INE0LMW01024,5
BSE_EQ|INE818W01011,ESAFSFB,EQUITY,BSE_EQ,ESAFSFB,ESAF Small Finance Bank Limited,10-NOV-2023,INE818W01011,10
BSE_EQ|INE0N6U01018,KALYANI,EQUITY,BSE_EQ,KALYANI,Kalyani Commercials Limited,13-FEB-2017,INE610E01010,10
BSE_EQ|INE202E01016,IREDA,EQUITY,BSE_EQ,IREDA,Indian Renewable Energy Development Agency Limited,29-NOV-2023,INE202E01016,10
BSE_EQ|INE007N01010,FEDFINA,EQUITY,BSE_EQ,FEDFINA,Fedbank Financial Services Limited,30-NOV-2023,INE007N01010,10
BSE_EQ|INE864X01013,DPWIRES,EQUITY,BSE_EQ,DPWIRES,D P Wires Limited,17-JAN-2020,INE864X01013,10
BSE_EQ|INE00Y201027,FLAIR,EQUITY,BSE_EQ,FLAIR,Flair Writing Industries Limited,01-DEC-2023,INE00Y201027,5
BSE_EQ|INE0KQN01018,BAJEL,EQUITY,BSE_EQ,BAJEL,Bajel Projects Limited,19-DEC-2023,INE0KQN01018,2
BSE_EQ|INE922K01024,INDIASHLTR,EQUITY,BSE_EQ,INDIASHLTR,India Shelter Finance Corporation Limited,20-DEC-2023,INE922K01024,5
BSE_EQ|INE321T01012,DOMS,EQUITY,BSE_EQ,DOMS,DOMS Industries Limited,20-DEC-2023,INE321T01012,10
BSE_EQ|INE616N01034,INOXINDIA,EQUITY,BSE_EQ,INOXINDIA,INOX India Limited,21-DEC-2023,INE616N01034,2
BSE_EQ|INE0FRK01012,MOTISONS,EQUITY,BSE_EQ,MOTISONS,Motisons Jewellers Limited,26-DEC-2023,INE0FRK01012,10
BSE_EQ|INE843S01025,SURAJEST,EQUITY,BSE_EQ,SURAJEST,Suraj Estate Developers Limited,26-DEC-2023,INE843S01025,5
BSE_EQ|INE046W01019,MUTHOOTMF,EQUITY,BSE_EQ,MUTHOOTMF,Muthoot Microfin Limited,26-DEC-2023,INE046W01019,10
