upstox_id,instrument_type,exchange,symbol,name_of_company,date_of_listing,isin_number,id,market_cap
NSE_EQ|INE197A01024,EQUITY,NSE_EQ,JYOTISTRUC,Jyoti Structures Limited,1995-07-19,INE197A01024,1d3d6167-5461-456d-88ca-2dcb5139009d,0
NSE_EQ|INE900B01029,EQUITY,NSE_EQ,KABRAEXTRU,Kabra Extrusion Technik Limited,1995-09-06,INE900B01029,6324dc7f-b0b7-46a5-99a0-faaadf4414b6,0
NSE_EQ|INE217B01036,EQUITY,NSE_EQ,KAJARIACER,Kajaria Ceramics Limited,2004-06-01,INE217B01036,88077131-ba87-41dc-b960-0e262ca0c353,0
NSE_EQ|INE437B01014,EQUITY,NSE_EQ,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,1995-12-13,INE437B01014,ca06481f-fd5d-482e-929f-6ea60f66a22d,0
NSE_EQ|INE438K01021,EQUITY,NSE_EQ,KALAMANDIR,Sai Silks (Kalamandir) Limited,2023-09-27,INE438K01021,f0dc46b0-6f28-4548-8f02-86db82748846,0
NSE_EQ|INE610E01010,EQUITY,NSE_EQ,KALYANI,Kalyani Commercials Limited,2017-02-13,INE610E01010,e0ff033a-8750-4e50-88a6-5276cbf497ee,0
NSE_EQ|INE314G01014,EQUITY,NSE_EQ,KALYANIFRG,Kalyani Forge Limited,2007-12-20,INE314G01014,c420a41d-18d4-42ed-a077-e607f315d5fc,0
NSE_EQ|INE303R01014,EQUITY,NSE_EQ,KALYANKJIL,Kalyan Jewellers India Limited,2021-03-26,INE303R01014,0d944de8-680f-4f78-95c1-43cf10539546,0
NSE_EQ|INE967C01018,EQUITY,NSE_EQ,KAMATHOTEL,Kamat Hotels (I) Limited,1996-05-29,INE967C01018,879515b1-2945-4f3d-8039-cfb9fdf76bab,0
NSE_EQ|INE390H01012,EQUITY,NSE_EQ,KAMDHENU,Kamdhenu Limited,2006-05-09,INE390H01012,07964892-ea1b-4142-a3c1-076f2337dd35,0
NSE_EQ|INE0BTI01029,EQUITY,NSE_EQ,KAMOPAINTS,Kamdhenu Ventures Limited,2023-01-24,INE0BTI01029,8d1d743a-911c-4d79-8c9c-c3a50d6d3130,0
NSE_EQ|INE879E01037,EQUITY,NSE_EQ,KANANIIND,Kanani Industries Limited,2011-12-14,INE879E01037,d82422f6-585b-4a5a-88d1-53cbd6dc8719,0
NSE_EQ|INE138C01024,EQUITY,NSE_EQ,KANORICHEM,Kanoria Chemicals & Industries Limited,1995-02-08,INE138C01024,7bb43fba-a949-4a2f-b905-266b098c350e,0
NSE_EQ|INE694E01014,EQUITY,NSE_EQ,KANPRPLA,Kanpur Plastipack Limited,2021-01-01,INE694E01014,ca1c5f27-72e7-44a2-b344-3a02595f0410,0
NSE_EQ|INE531A01024,EQUITY,NSE_EQ,KANSAINER,Kansai Nerolac Paints Limited,2003-09-15,INE531A01024,8f31a050-a464-440a-a8c4-6b558a793731,0
